,NA06984,NA06985,NA06986,NA06989,NA06994,NA07000,NA07037,NA07048,NA07051,NA07056,NA07347,NA07357,NA10847,NA10851,NA11829,NA11830,NA11831,NA11832,NA11840,NA11843,NA11881,NA11892,NA11893,NA11894,NA11918,NA11919,NA11920,NA11930,NA11931,NA11932,NA11933,NA11992,NA11994,NA11995,NA12003,NA12004,NA12005,NA12006,NA12043,NA12044,NA12045,NA12046,NA12058,NA12144,NA12154,NA12155,NA12156,NA12234,NA12249,NA12272,NA12273,NA12275,NA12282,NA12283,NA12286,NA12287,NA12340,NA12341,NA12342,NA12347,NA12348,NA12383,NA12399,NA12400,NA12413,NA12414,NA12489,NA12546,NA12716,NA12717,NA12718,NA12748,NA12749,NA12750,NA12751,NA12760,NA12761,NA12762,NA12763,NA12775,NA12776,NA12777,NA12778,NA12812,NA12813,NA12814,NA12815,NA12827,NA12828,NA12829,NA12830,NA12842,NA12843,NA12872,NA12873,NA12874,NA12878,NA12889,NA12890,NA18525,NA18526,NA18528,NA18530,NA18531,NA18532,NA18533,NA18534,NA18535,NA18536,NA18537,NA18538,NA18539,NA18541,NA18542,NA18543,NA18544,NA18545,NA18546,NA18547,NA18548,NA18549,NA18550,NA18552,NA18553,NA18555,NA18557,NA18558,NA18559,NA18560,NA18561,NA18562,NA18563,NA18564,NA18565,NA18566,NA18567,NA18570,NA18571,NA18572,NA18573,NA18574,NA18577,NA18579,NA18582,NA18591,NA18592,NA18593,NA18595,NA18596,NA18597,NA18599,NA18602,NA18603,NA18605,NA18606,NA18608,NA18609,NA18610,NA18611,NA18612,NA18613,NA18614,NA18615,NA18616,NA18617,NA18618,NA18619,NA18620,NA18621,NA18622,NA18623,NA18624,NA18625,NA18626,NA18627,NA18628,NA18629,NA18630,NA18631,NA18632,NA18633,NA18634,NA18635,NA18636,NA18637,NA18638,NA18639,NA18640,NA18641,NA18642,NA18643,NA18644,NA18645,NA18646,NA18647,NA18648,NA18740,NA18745,NA18747,NA18748,NA18749,NA18757,NA18486,NA18488,NA18489,NA18499,NA18501,NA18502,NA18504,NA18505,NA18507,NA18508,NA18510,NA18511,NA18516,NA18517,NA18519,NA18520,NA18522,NA18523,NA18853,NA18856,NA18858,NA18861,NA18864,NA18865,NA18867,NA18868,NA18870,NA18871,NA18873,NA18874,NA18876,NA18877,NA18878,NA18879,NA18881,NA18907,NA18908,NA18909,NA18910,NA18912,NA18915,NA18916,NA18917,NA18923,NA18924,NA18933,NA18934,NA19092,NA19093,NA19095,NA19096,NA19098,NA19099,NA19102,NA19107,NA19108,NA19113,NA19114,NA19116,NA19117,NA19118,NA19119,NA19121,NA19129,NA19130,NA19131,NA19137,NA19138,NA19141,NA19143,NA19144,NA19146,NA19147,NA19149,NA19152,NA19153,NA19159,NA19160,NA19171,NA19172,NA19175,NA19184,NA19185,NA19189,NA19190,NA19197,NA19198,NA19200,NA19201,NA19204,NA19206,NA19207,NA19209,NA19210,NA19213,NA19214,NA19222,NA19223,NA19225,NA19235,NA19236,NA19238,NA19239,NA19240,NA19247,NA19248,NA19256,NA19257
150124500,60,108,95,32,36,61,44,29,38,45,94,41,52,29,93,22,62,100,81,34,62,51,37,34,58,76,81,48,23,42,33,66,125,47,44,68,86,56,31,77,88,48,51,62,89,167,54,44,21,25,38,33,40,50,49,23,42,63,102,63,35,56,62,49,41,74,58,47,24,47,37,36,28,37,37,53,39,60,44,60,26,65,54,45,37,61,71,47,24,40,33,34,44,53,63,55,30,44,38,77,28,53,16,42,47,44,17,28,27,37,58,49,66,55,51,50,32,57,35,48,40,43,34,60,51,34,56,41,31,43,37,34,54,41,52,43,57,39,18,58,43,45,50,47,24,57,52,61,49,51,61,26,38,63,59,38,10,45,26,55,17,34,39,48,56,16,15,42,60,62,83,79,38,55,37,52,49,20,35,44,62,29,36,46,60,50,28,53,50,19,42,23,36,35,48,22,46,25,43,51,55,41,73,43,50,67,27,32,68,41,20,22,60,13,43,38,81,46,18,27,26,65,31,24,21,28,88,119,53,40,87,67,24,28,45,26,20,22,86,29,44,63,50,37,22,28,22,30,14,35,28,34,35,46,28,61,19,16,17,34,31,42,40,82,38,31,66,43,26,54,10,18,31,64,30,31,47,34,26,33,57,60,36,53,29,25,28,26,40,33,23,40,52,37,28,42,80,51,36,41,34,51,39,24,27,30,61,42,37,41
150125000,57,112,103,32,32,63,49,33,40,27,85,30,63,31,80,20,42,114,52,32,42,55,43,28,55,60,88,46,36,42,42,60,121,27,48,71,116,66,24,75,77,41,64,55,61,132,32,37,7,22,42,37,48,46,34,27,46,41,89,63,38,43,60,57,54,69,77,55,29,38,34,38,45,37,27,55,36,64,40,55,27,68,53,68,28,55,42,38,32,57,32,39,46,66,48,54,46,46,46,69,33,39,15,39,37,53,19,24,30,35,63,40,37,43,49,57,47,57,35,44,67,48,29,67,62,32,57,65,39,38,36,37,76,43,52,62,59,37,27,59,38,53,57,60,27,36,62,59,42,61,62,30,55,59,60,45,21,38,26,68,12,45,38,45,66,15,17,38,65,66,59,74,28,46,52,53,24,14,34,52,52,34,30,48,60,45,21,60,62,10,36,34,51,33,46,16,67,19,24,36,47,31,61,39,53,71,43,32,51,35,31,19,64,15,24,27,60,40,23,35,24,62,26,33,22,32,84,86,53,25,73,40,23,28,47,31,19,24,77,30,69,69,51,49,24,12,29,8,23,45,30,43,42,64,37,74,24,32,24,44,27,35,43,89,54,45,35,45,27,48,10,20,35,46,35,11,65,32,27,24,68,61,29,64,23,37,30,28,31,26,11,58,50,32,20,44,87,57,31,45,46,61,51,33,19,22,38,32,35,42
150125500,69,106,91,51,38,60,46,37,43,25,95,33,60,22,68,18,20,107,58,25,38,50,40,32,51,73,97,58,29,43,36,68,115,32,42,59,78,80,34,54,64,37,39,54,71,124,34,26,16,27,52,25,43,43,39,31,38,44,124,44,37,55,58,54,36,64,67,54,26,44,53,55,46,38,32,66,32,37,47,50,37,59,54,42,20,46,40,45,40,47,32,40,40,60,34,45,37,39,42,48,49,38,18,51,38,50,20,46,39,35,52,56,57,48,41,37,42,53,41,28,53,57,59,97,58,48,61,57,58,41,26,56,58,51,35,46,43,49,21,76,24,58,55,65,32,35,51,55,57,48,54,17,57,53,55,51,15,42,40,53,14,56,34,74,59,34,21,40,60,70,75,68,28,48,46,68,30,20,40,48,54,40,25,69,71,55,26,35,46,33,40,29,28,34,45,28,46,20,57,44,40,30,61,41,70,69,46,42,101,35,33,33,94,22,32,25,98,49,24,22,25,75,31,39,40,44,94,78,45,35,58,24,35,41,44,43,32,35,48,33,67,68,40,45,38,36,51,43,18,56,48,41,29,49,59,105,45,31,49,48,40,54,22,49,41,39,53,88,28,39,26,31,35,42,30,21,72,45,37,27,60,47,38,57,32,43,39,35,28,28,17,51,44,19,19,31,108,35,54,36,31,55,39,9,26,22,39,37,36,45
150126000,84,98,101,62,43,64,41,57,18,30,78,36,71,30,95,13,39,189,81,49,42,59,48,44,64,50,72,56,35,54,52,46,121,52,31,78,119,96,35,70,84,51,84,54,66,167,34,50,24,32,62,30,42,46,56,54,54,60,136,59,63,57,72,68,62,86,64,53,30,46,49,44,56,35,31,47,23,41,46,52,27,67,78,50,22,32,26,59,53,46,59,47,51,47,32,40,41,53,28,44,53,43,30,56,49,52,35,85,70,35,91,71,79,58,47,58,60,69,59,31,49,85,54,113,70,69,82,66,84,63,67,80,60,68,67,59,61,44,32,78,47,64,69,54,20,56,54,79,62,44,73,42,61,62,64,56,33,41,42,71,38,43,47,59,65,32,14,39,44,77,70,80,38,66,59,51,18,29,43,48,57,23,40,75,70,60,24,24,44,8,26,45,29,25,27,16,27,7,14,38,36,18,33,56,52,52,41,32,89,38,4,19,84,25,28,28,61,32,17,39,18,122,21,36,47,47,96,121,44,22,49,11,42,47,61,45,31,35,39,23,68,75,48,29,18,27,36,19,9,44,43,42,21,26,18,63,43,25,12,36,19,9,12,27,28,37,39,37,44,42,13,15,12,24,40,4,64,21,29,11,53,33,34,32,22,13,33,25,29,26,30,25,34,29,11,51,122,16,46,34,29,64,36,16,22,15,59,35,29,27
150126500,45,111,117,34,31,55,39,46,39,33,105,43,71,18,121,16,52,138,60,46,49,67,57,39,61,81,67,40,28,34,47,47,124,42,35,50,72,69,44,71,77,33,62,59,72,157,58,29,15,25,48,29,42,31,35,32,41,44,129,43,43,45,51,57,42,61,59,47,30,25,26,41,67,49,43,66,41,38,50,60,37,60,56,60,34,49,50,32,34,46,58,32,47,60,41,75,29,36,32,81,42,34,45,43,57,54,36,46,64,36,42,34,52,66,53,70,45,74,60,49,58,54,44,56,61,59,63,61,47,52,43,47,73,41,49,50,71,47,23,67,38,60,75,69,33,40,65,71,65,39,71,55,59,63,68,68,32,57,42,57,27,51,42,54,72,35,9,59,72,54,79,73,29,56,53,70,38,18,40,60,74,26,53,71,63,40,32,57,53,30,33,29,49,37,56,24,49,39,56,52,45,45,61,47,63,54,33,31,77,47,23,35,71,32,50,38,80,40,18,25,23,121,37,24,46,51,89,92,46,36,62,46,43,37,54,36,30,28,56,29,71,67,43,27,20,14,23,21,14,36,25,45,41,34,27,72,23,20,35,39,47,31,31,35,43,45,59,52,48,39,13,19,25,67,33,32,59,42,48,24,42,50,36,56,26,37,12,18,21,24,20,37,43,41,35,41,109,63,47,32,31,51,24,19,29,29,38,54,36,29
150127000,55,105,116,34,54,51,54,47,29,29,94,38,45,20,100,25,35,123,51,43,45,62,44,23,70,64,72,57,34,31,33,43,158,40,52,49,109,65,27,77,71,47,62,81,65,116,47,34,37,33,40,36,40,47,39,30,31,41,125,38,35,46,55,46,43,80,87,54,34,43,22,38,66,49,42,49,34,48,43,51,42,75,55,66,40,62,64,27,33,46,48,52,48,87,48,51,33,50,47,51,40,49,16,51,57,44,11,31,68,35,45,37,54,47,54,49,34,62,58,41,53,57,43,72,42,61,65,67,48,43,48,56,60,43,43,46,55,40,42,55,38,71,82,75,45,44,49,64,47,38,51,20,59,68,71,66,18,62,40,69,19,44,39,56,64,22,10,70,64,60,74,65,35,53,53,71,26,32,31,59,67,22,66,81,56,36,29,54,59,37,46,38,30,28,64,37,57,31,49,46,55,51,68,29,56,48,42,36,87,30,24,35,61,19,35,26,90,31,17,26,34,109,32,23,39,36,101,80,51,21,57,28,50,46,52,60,33,26,52,29,65,70,37,32,22,14,34,34,30,60,43,49,50,52,21,95,28,25,22,34,44,44,41,63,42,38,30,65,47,34,27,26,30,35,28,24,83,15,37,24,54,40,42,50,45,45,27,26,23,34,28,65,41,26,40,39,115,40,48,39,29,42,36,16,25,30,55,48,38,48
150127500,61,102,100,36,51,70,47,28,21,15,70,42,68,33,67,21,35,97,50,35,45,45,43,34,43,67,70,42,41,41,34,49,141,34,39,64,89,60,16,81,70,39,48,66,60,107,26,49,16,23,41,38,38,47,41,30,27,33,134,39,39,48,37,52,32,68,55,71,34,34,42,40,55,37,37,46,40,50,40,61,34,55,47,54,42,39,35,43,40,49,43,28,50,57,54,55,30,27,44,70,48,51,13,58,50,38,17,24,49,29,32,39,52,37,41,36,31,51,51,35,45,46,50,67,34,54,60,66,43,55,55,49,70,33,47,40,56,41,19,44,28,62,52,68,34,46,49,58,39,51,50,19,66,51,49,59,26,47,24,67,16,41,39,63,60,17,15,66,49,57,64,56,28,64,57,80,20,32,30,71,80,29,57,64,53,44,19,32,43,21,41,28,37,42,36,27,39,23,50,42,48,40,44,32,66,47,36,32,84,47,21,35,81,29,31,24,72,27,9,21,24,69,39,26,41,28,87,91,59,22,47,22,36,47,35,39,38,31,48,36,60,93,44,31,25,14,26,18,16,31,34,49,35,36,33,73,34,35,31,55,32,32,45,45,42,33,34,64,41,40,19,19,42,49,26,20,68,31,35,24,55,38,31,40,21,30,24,29,13,18,28,53,66,26,17,29,86,49,43,28,51,45,36,13,28,20,51,33,55,50
150128000,48,116,83,46,46,80,48,32,26,48,102,38,80,27,79,20,50,131,52,28,58,39,41,31,60,81,76,47,24,40,35,75,122,33,55,86,93,76,24,93,90,55,47,63,87,157,27,58,20,39,39,55,41,36,49,31,28,44,135,47,44,59,46,47,32,108,78,65,30,29,40,34,51,46,44,75,39,60,29,53,24,45,48,88,36,81,71,38,33,44,59,41,66,58,77,70,36,46,47,67,43,47,17,60,39,55,13,43,32,23,34,31,55,53,62,55,30,63,35,40,35,34,36,69,42,56,54,56,41,33,48,40,61,45,42,38,55,38,21,46,36,61,58,58,19,57,52,46,25,52,47,27,45,45,54,53,22,49,21,67,13,45,46,68,83,24,29,41,40,68,61,63,24,59,51,69,24,32,52,50,56,35,49,63,58,37,63,75,69,49,60,24,61,23,75,27,69,50,71,46,61,53,69,42,56,51,35,34,94,49,17,28,69,32,36,38,77,51,27,31,30,83,31,36,42,43,104,70,62,24,63,24,24,46,45,32,23,26,38,36,62,75,57,68,24,26,15,30,16,53,42,54,49,72,42,83,26,37,34,43,41,80,68,49,48,38,32,45,35,25,14,23,29,77,26,35,71,34,56,24,39,60,25,41,41,55,20,20,31,29,18,45,53,38,37,57,83,81,39,37,51,52,31,13,22,26,49,36,45,43
150128500,42,90,64,33,40,65,43,25,25,33,59,46,56,29,62,14,60,114,46,40,48,51,22,37,47,65,79,35,33,21,44,33,78,34,31,66,67,79,22,73,81,29,39,45,40,111,32,36,32,44,43,17,30,38,38,36,22,31,79,35,39,57,30,29,49,68,63,51,27,35,27,39,45,47,47,54,43,46,43,44,33,68,37,58,28,69,66,33,35,32,57,37,22,30,66,60,22,31,32,48,22,42,14,37,30,44,17,21,39,20,33,27,22,48,38,38,23,39,30,23,31,35,34,62,44,29,42,40,43,30,31,42,35,31,29,27,55,28,24,38,31,57,40,38,29,37,38,41,24,27,38,20,41,42,41,42,20,34,21,41,24,59,34,39,41,13,20,37,51,52,82,60,19,52,34,61,19,20,32,59,56,31,32,40,60,39,35,53,35,18,50,34,49,29,38,8,52,30,43,39,51,44,36,35,56,49,44,18,45,28,21,14,62,21,22,27,55,33,24,30,16,45,29,23,47,49,62,50,30,17,48,33,23,39,34,29,37,38,44,31,31,41,49,45,15,24,16,18,15,49,32,41,39,52,27,91,26,27,19,18,34,66,55,45,43,43,28,55,29,23,20,6,17,68,22,42,60,23,31,23,66,42,28,41,42,32,32,20,18,18,19,53,54,25,31,23,71,72,39,23,27,38,31,28,8,19,24,26,44,38
150129000,58,89,93,44,30,75,56,34,23,26,85,21,46,30,92,14,40,107,48,48,46,51,37,39,49,115,68,41,32,35,32,62,122,29,31,64,63,68,21,72,58,32,67,60,55,112,44,33,19,35,48,22,34,50,45,29,30,41,98,36,44,51,39,28,54,60,88,43,38,32,27,43,33,54,43,64,31,51,39,52,35,47,35,50,31,40,40,31,25,47,53,40,31,55,31,44,25,46,33,42,31,41,18,36,33,48,17,32,55,23,46,43,58,44,33,31,21,46,27,33,38,46,38,86,25,37,37,49,37,34,30,48,54,23,24,27,39,31,27,49,24,44,40,36,44,31,24,46,40,42,42,25,35,40,30,31,27,31,25,54,26,44,33,31,31,23,9,29,41,53,70,65,24,66,41,46,25,20,22,57,60,29,31,56,41,43,24,24,37,22,27,25,16,25,35,25,34,29,39,33,33,27,39,48,69,43,37,33,70,27,9,26,79,31,33,32,76,49,32,22,26,53,20,25,39,45,77,96,71,24,40,30,24,30,38,32,38,28,42,35,48,89,47,49,15,31,31,32,24,36,50,39,44,51,39,89,22,28,27,23,29,32,35,50,42,33,27,77,54,27,25,17,23,35,28,14,49,37,40,34,41,52,34,45,21,32,39,33,29,24,29,48,36,24,30,35,103,29,38,24,28,54,41,32,15,26,47,30,36,29
